"Date","Price (Close)"
"2018-11-25","3960.9067713527047"
"2018-11-24","3813.180414304607"
"2018-11-23","4308.149498937342"
"2018-11-22","4284.483603562276"
"2018-11-21","4559.19369958147"
"2018-11-20","4401.214430145316"
"2018-11-19","4766.071950669885"
"2018-11-18","5581.050892648267"
"2018-11-17","5523.9924121130425"
"2018-11-16","5532.327281386473"
"2018-11-15","5607.475567058754"
"2018-11-14","5673.100794120969"
"2018-11-13","6285.518333279399"
"2018-11-12","6337.56339235909"
"2018-11-11","6373.956918846336"
"2018-11-10","6356.436950132784"
"2018-11-09","6343.6024530445775"
"2018-11-08","6417.8855558149435"
"2018-11-07","6523.381514581164"
"2018-11-06","6464.376981914805"
"2018-11-05","6413.792339278265"
"2018-11-04","6434.994780879082"
"2018-11-03","6349.707139996626"
"2018-11-02","6364.743180175194"
"2018-11-01","6357.066733288193"
"2018-10-31","6324.472545948528"
"2018-10-30","6292.742904020852"
"2018-10-29","6277.342398329296"
"2018-10-28","6412.58917946526"
"2018-10-27","6444.171017057663"
"2018-10-26","6418.952689595676"
"2018-10-25","6403.689831120153"
"2018-10-24","6431.908139279283"
"2018-10-23","6413.141318312036"
"2018-10-22","6419.70724376592"
"2018-10-21","6436.547632602747"
"2018-10-20","6419.621113554599"
"2018-10-19","6362.6003267463075"
"2018-10-18","6419.5136947389565"
"2018-10-17","6470.866289289917"
"2018-10-16","6475.66427425284"
"2018-10-15","6516.59477994691"
"2018-10-14","6201.462410195103"
"2018-10-13","6216.820622415106"
"2018-10-12","6195.501245321042"
"2018-10-11","6164.660037184301"
"2018-10-10","6540.508683550137"
"2018-10-09","6593.119267034447"
"2018-10-08","6616.650965217402"
"2018-10-07","6575.319196765809"
"2018-10-06","6556.555257936585"
"2018-10-05","6591.715203550102"
"2018-10-04","6553.613895806791"
"2018-10-03","6467.791420604328"
"2018-10-02","6485.402828140558"
"2018-10-01","6578.080415897625"
"2018-09-30","6604.396344159466"
"2018-09-29","6579.440544083353"
"2018-09-28","6627.605807763299"
"2018-09-27","6677.144531728074"
"2018-09-26","6451.981168740605"
"2018-09-25","6436.002933859306"
"2018-09-24","6577.5492041877515"
"2018-09-23","6696.302525025036"
"2018-09-22","6713.333210089373"
"2018-09-21","6754.21104390706"
"2018-09-20","6488.12037836681"
"2018-09-19","6387.992885308682"
"2018-09-18","6315.903480824292"
"2018-09-17","6245.89784317336"
"2018-09-16","6493.548776323665"
"2018-09-15","6512.871574494258"
"2018-09-14","6473.721244444222"
"2018-09-13","6479.6086005133"
"2018-09-12","6330.321373937202"
"2018-09-11","6279.717624953441"
"2018-09-10","6299.414516749377"
"2018-09-09","6252.613742746133"
"2018-09-08","6174.030057682907"
"2018-09-07","6385.32267552259"
"2018-09-06","6504.809390441691"
"2018-09-05","6685.504974891883"
"2018-09-04","7346.791611955217"
"2018-09-03","7255.975840516008"
"2018-09-02","7294.621059343185"
"2018-09-01","7194.35814221216"
"2018-08-31","7011.827383536303"
